,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
157,jejuri,18.28,74.17,23.7,83,100,2.08,1602282915
158,walvis bay,-22.96,14.51,12.78,81,0,1.0,1602283016
159,sistranda,63.73,8.83,9.0,87,75,1.5,1602283017
160,morondava,-20.28,44.28,21.49,82,0,2.4,1602283018
161,usak,38.5,29.42,13.49,70,0,1.05,1602283019
162,sawtell,-30.38,153.1,21.0,49,0,3.1,1602283019
163,airai,-8.93,125.41,19.06,63,87,2.66,1602283020
164,gat,31.61,34.76,25.0,100,2,1.25,1602283021
165,kalmunai,7.42,81.82,26.04,78,100,1.62,1602283007
166,tuktoyaktuk,69.45,-133.04,0.0,95,90,5.1,1602282964
167,shajapur,23.43,76.27,21.8,43,86,0.81,1602283023
168,mattru,7.62,-11.83,23.93,94,60,1.3,1602283023
169,dillon,34.42,-79.37,23.89,88,75,2.1,1602283024
170,calama,-22.47,-68.93,25.0,5,10,10.8,1602283025
171,saint george,37.1,-113.58,32.22,16,1,1.5,1602282857
172,newport,51.59,-3.0,10.0,92,0,3.92,1602283026
173,saint-philippe,-21.36,55.77,22.0,73,48,1.5,1602282962
174,itacare,-14.28,-39.0,24.69,88,1,3.7,1602283026
175,nanortalik,60.14,-45.24,6.31,78,97,14.92,1602283027
176,alta floresta,-9.88,-56.09,30.95,37,61,0.92,1602283027
177,port elizabeth,-33.92,25.57,13.0,93,75,2.6,1602283027
178,meulaboh,4.14,96.13,24.11,82,100,2.0,1602283027
179,takab,36.4,47.11,5.85,72,0,2.11,1602283027
180,waipawa,-41.41,175.52,15.0,62,100,6.2,1602283027
181,mar del plata,-38.0,-57.56,13.0,58,0,5.1,1602283027
182,olafsvik,64.89,-23.71,7.07,72,0,4.02,1602283027
183,buin,-33.73,-70.75,27.0,15,0,3.1,1602282967
184,kaduy,59.2,37.15,10.44,92,99,2.8,1602282786
185,torbay,47.67,-52.73,6.11,75,20,9.8,1602282980
186,faanui,-16.48,-151.75,25.78,77,30,8.64,1602283028
187,turukhansk,65.82,87.98,-10.38,97,92,3.63,1602283028
188,illapel,-31.63,-71.17,16.57,58,34,1.39,1602283028
189,ola,59.58,151.28,3.33,69,0,3.57,1602283028
190,ambilobe,-13.2,49.05,23.31,90,12,0.61,1602283028
191,kaka,37.35,59.61,3.23,77,0,0.61,1602283028
192,weiser,44.25,-116.97,26.67,17,1,2.1,1602283029
193,la ronge,55.1,-105.28,5.0,65,75,3.1,1602283029
194,bonavista,48.65,-53.11,5.0,78,62,5.81,1602283029
195,ierapetra,35.01,25.74,21.67,65,3,2.68,1602283029
196,hit,33.64,42.83,21.3,39,0,4.57,1602283029
197,ponta do sol,32.67,-17.1,21.11,77,40,6.7,1602283029
198,kedrovoye,57.16,60.57,9.0,66,97,5.0,1602283029
199,lerwick,60.15,-1.15,5.0,86,28,3.1,1602283029
200,gumla,23.05,84.55,22.07,93,22,1.75,1602283029
201,bethel,41.37,-73.41,17.0,55,1,3.1,1602283030
202,phan thiet,10.93,108.1,24.63,90,100,2.45,1602283030
203,mandapam,9.28,79.12,27.76,80,94,5.69,1602283030
204,srednekolymsk,67.45,153.68,-3.24,95,10,1.23,1602283030
205,ranong,9.97,98.63,26.06,85,100,5.64,1602283030
206,hovd,48.01,91.64,-4.13,77,0,0.83,1602283030
207,werda,-25.27,23.28,19.14,27,0,5.19,1602283030
208,tukrah,32.53,20.58,21.32,62,0,4.5,1602283030
209,carnarvon,-24.87,113.63,19.0,88,0,7.7,1602283031
210,veraval,20.9,70.37,27.31,65,45,4.84,1602283026
211,guarapari,-20.67,-40.5,26.11,83,75,1.5,1602283031
212,gra liyia,35.02,25.68,21.67,65,3,2.68,1602283031
213,lavrentiya,65.58,-171.0,4.81,84,100,4.72,1602283031
214,xining,36.62,101.77,8.53,67,68,0.94,1602283031
215,bambous virieux,-20.34,57.76,23.0,88,75,1.5,1602282962
216,guane,22.2,-84.09,26.95,78,2,4.03,1602283031
217,kirakira,-10.45,161.92,28.91,74,14,5.13,1602283031
218,kununurra,-15.77,128.73,30.0,30,86,5.7,1602283031
219,likasi,-10.98,26.73,17.41,83,99,1.02,1602283032
220,nikolayevsk-na-amure,53.14,140.73,7.01,67,0,1.12,1602282906
221,villazon,-22.09,-65.59,14.11,60,43,7.87,1602283032
222,rehoboth,-23.32,17.08,12.13,39,0,2.52,1602283032
223,waverley,-25.7,28.26,20.56,77,3,1.5,1602283032
224,bindi,9.92,-11.45,21.86,93,67,1.24,1602283032
225,severo-kurilsk,50.68,156.12,9.03,75,17,6.83,1602283032
226,troitskoye,52.98,84.68,-0.6,92,100,5.49,1602283033
227,grand gaube,-20.01,57.66,22.22,86,3,1.79,1602283033
228,ayan,56.45,138.17,8.25,60,0,2.31,1602283033
229,yenagoa,4.92,6.26,23.86,93,98,1.43,1602283033
230,baykit,61.67,96.37,-2.06,95,100,2.73,1602283033
231,ferme-neuve,46.7,-75.45,5.26,94,100,1.19,1602283033
232,ballina,-28.87,153.57,23.89,77,40,3.6,1602283033
233,naerbo,58.67,5.65,7.22,99,84,1.79,1602283033
234,saskylakh,71.92,114.08,-11.51,94,93,1.45,1602283034
235,ogori,34.1,131.4,21.0,77,75,2.6,1602283034
236,kaitangata,-46.28,169.85,13.33,57,1,1.79,1602283034
237,hervey bay,-25.3,152.85,26.11,69,75,2.6,1602283034
238,okhotsk,59.38,143.3,4.68,61,0,3.56,1602283034
239,provideniya,64.38,-173.3,4.85,92,99,4.78,1602283002
240,doha,25.29,51.53,30.0,45,0,2.1,1602282777
241,majene,-3.54,118.97,25.62,83,100,2.2,1602283034
242,mount isa,-20.73,139.5,23.0,18,46,5.7,1602283034
243,curup,-3.47,102.53,19.93,89,100,0.56,1602283035
244,haines junction,60.75,-137.51,6.35,61,56,1.29,1602283035
245,altay,47.87,88.12,-3.25,87,79,0.54,1602283035
246,tautira,-17.73,-149.15,30.0,55,20,1.5,1602283035
247,boyolangu,-8.12,111.89,24.62,87,100,2.35,1602283035
248,berlevag,70.86,29.09,8.39,83,59,5.99,1602283035
249,tamworth,52.63,-1.7,7.0,75,0,3.1,1602283013
250,broken hill,-31.95,141.43,17.0,45,0,3.1,1602283000
251,vytegra,61.01,36.45,12.57,90,100,3.45,1602283036
252,hasaki,35.73,140.83,19.0,93,75,1.5,1602283036
253,caravelas,-17.71,-39.25,25.15,79,85,5.98,1602283036
254,mao,39.89,4.27,17.0,88,20,0.42,1602283036
255,dong hoi,17.48,106.6,25.64,85,100,8.09,1602283036
256,salinas,36.68,-121.66,23.0,53,1,5.1,1602283036
257,cidreira,-30.18,-50.21,16.26,81,5,3.29,1602282969
258,leningradskiy,69.38,178.42,1.56,96,100,7.48,1602283036
259,rio gallegos,-51.62,-69.22,16.0,29,40,14.9,1602283036
260,mapastepec,15.43,-92.9,27.25,79,84,1.12,1602283036
261,ketchikan,55.34,-131.65,7.0,100,90,2.6,1602283037
262,sitka,57.05,-135.33,11.0,57,90,5.1,1602283037
263,araouane,18.9,-3.53,33.58,16,0,3.26,1602282983
264,ilyich,40.85,68.51,7.26,78,12,1.71,1602283037
265,mahebourg,-20.41,57.7,23.0,88,75,1.5,1602283037
266,husavik,66.04,-17.34,0.0,79,39,4.52,1602282997
267,tambacounda,13.75,-13.76,28.0,88,0,2.1,1602283037
268,lasa,46.62,10.7,10.56,100,20,0.99,1602283037
269,shafranovo,53.97,54.77,4.63,65,59,4.62,1602283037
270,rock sound,24.9,-76.2,27.91,78,25,7.39,1602283039
271,bhatkal,13.97,74.57,25.3,86,96,2.51,1602283039
272,asau,46.43,26.4,13.33,96,94,1.32,1602283039
273,farafangana,-22.82,47.83,21.73,88,98,2.83,1602283039
274,viedma,-40.81,-63.0,15.56,51,0,0.89,1602283039
275,chateau-thierry,49.05,3.4,10.0,86,77,4.15,1602283039
276,frunzivka,47.33,29.75,16.14,75,69,2.96,1602283039
277,chernyshevskiy,63.01,112.47,-5.76,91,12,3.24,1602283040
278,raudeberg,61.99,5.14,8.33,77,92,6.15,1602283040
279,vicuna,-30.03,-70.71,15.0,77,25,6.2,1602283040
280,morwell,-38.23,146.4,13.89,71,96,3.13,1602282988
281,shuangyang,43.52,125.67,12.0,62,20,5.0,1602283040
282,preston,53.77,-2.72,7.22,90,66,1.34,1602283040
283,meadow lake,34.8,-106.54,31.67,9,20,2.1,1602283041
284,castro,-24.79,-50.01,13.77,89,100,3.02,1602283041
285,jalu,29.03,21.55,22.27,63,0,4.11,1602283016
286,gold coast,-28.0,153.43,25.0,64,0,6.2,1602283041
287,tarakan,3.3,117.63,26.93,81,100,2.42,1602282977
288,usinsk,65.99,57.53,4.73,96,100,2.75,1602283041
289,kudahuvadhoo,2.67,72.89,27.77,79,77,6.42,1602283041
